timestamp,count,uniques,day,mo,yr,collection_timestamp,yr_mo_day
2019-07-27T00:00:00Z,11,7,27,7,2019,2019-10-26 23:31:03.990125,2019-07-27
2019-07-28T00:00:00Z,4,4,28,7,2019,2019-10-26 23:31:03.990125,2019-07-28
2019-07-29T00:00:00Z,17,10,29,7,2019,2019-10-26 23:31:03.990125,2019-07-29
2019-07-30T00:00:00Z,28,16,30,7,2019,2019-10-26 23:31:03.990125,2019-07-30
2019-07-31T00:00:00Z,16,10,31,7,2019,2019-10-26 23:31:03.990125,2019-07-31
2019-08-01T00:00:00Z,28,14,1,8,2019,2019-10-26 23:31:03.990125,2019-08-01
2019-08-02T00:00:00Z,10,7,2,8,2019,2019-10-26 23:31:03.990125,2019-08-02
2019-08-03T00:00:00Z,16,8,3,8,2019,2019-10-26 23:31:03.990125,2019-08-03
2019-08-04T00:00:00Z,10,7,4,8,2019,2019-10-26 23:31:03.990125,2019-08-04
2019-08-05T00:00:00Z,30,14,5,8,2019,2019-10-26 23:31:03.990125,2019-08-05
2019-08-06T00:00:00Z,29,15,6,8,2019,2019-10-26 23:31:03.990125,2019-08-06
2019-08-07T00:00:00Z,32,17,7,8,2019,2019-10-26 23:31:03.990125,2019-08-07
2019-08-08T00:00:00Z,21,15,8,8,2019,2019-10-26 23:31:03.990125,2019-08-08
2019-08-09T00:00:00Z,34,17,9,8,2019,2019-10-26 23:31:03.990125,2019-08-09
2019-08-10T00:00:00Z,34,18,10,8,2019,2019-10-26 23:31:03.990125,2019-08-10
2019-08-11T00:00:00Z,33,19,11,8,2019,2019-10-26 23:31:03.990125,2019-08-11
2019-08-12T00:00:00Z,44,22,12,8,2019,2019-10-26 23:31:03.990125,2019-08-12
2019-08-13T00:00:00Z,48,20,13,8,2019,2019-10-26 23:31:03.990125,2019-08-13
2019-08-14T00:00:00Z,48,23,14,8,2019,2019-10-26 23:31:03.990125,2019-08-14
2019-08-15T00:00:00Z,42,22,15,8,2019,2019-10-26 23:31:03.990125,2019-08-15
2019-08-16T00:00:00Z,33,20,16,8,2019,2019-10-26 23:31:03.990125,2019-08-16
2019-08-17T00:00:00Z,24,18,17,8,2019,2019-10-26 23:31:03.990125,2019-08-17
2019-08-18T00:00:00Z,20,13,18,8,2019,2019-10-26 23:31:03.990125,2019-08-18
2019-08-19T00:00:00Z,20,17,19,8,2019,2019-10-26 23:31:03.990125,2019-08-19
2019-08-20T00:00:00Z,20,17,20,8,2019,2019-10-26 23:31:03.990125,2019-08-20
2019-08-21T00:00:00Z,30,24,21,8,2019,2019-10-26 23:31:03.990125,2019-08-21
2019-08-22T00:00:00Z,23,21,22,8,2019,2019-10-26 23:31:03.990125,2019-08-22
2019-08-23T00:00:00Z,17,16,23,8,2019,2019-10-26 23:31:03.990125,2019-08-23
2019-08-24T00:00:00Z,16,17,24,8,2019,2019-10-26 23:31:03.990125,2019-08-24
2019-08-25T00:00:00Z,14,13,25,8,2019,2019-10-26 23:31:03.990125,2019-08-25
2019-08-26T00:00:00Z,44,27,26,8,2019,2019-10-26 23:31:03.990125,2019-08-26
2019-08-27T00:00:00Z,24,20,27,8,2019,2019-10-26 23:31:03.990125,2019-08-27
2019-08-28T00:00:00Z,27,19,28,8,2019,2019-10-26 23:31:03.990125,2019-08-28
2019-08-29T00:00:00Z,30,24,29,8,2019,2019-10-26 23:31:03.990125,2019-08-29
2019-08-30T00:00:00Z,20,19,30,8,2019,2019-10-26 23:31:03.990125,2019-08-30
2019-08-31T00:00:00Z,16,13,31,8,2019,2019-10-26 23:31:03.990125,2019-08-31
2019-09-01T00:00:00Z,15,15,1,9,2019,2019-10-26 23:31:03.990125,2019-09-01
2019-09-02T00:00:00Z,32,23,2,9,2019,2019-10-26 23:31:03.990125,2019-09-02
2019-09-03T00:00:00Z,24,20,3,9,2019,2019-10-26 23:31:03.990125,2019-09-03
2019-09-04T00:00:00Z,23,18,4,9,2019,2019-10-26 23:31:03.990125,2019-09-04
2019-09-05T00:00:00Z,30,19,5,9,2019,2019-10-26 23:31:03.990125,2019-09-05
2019-09-06T00:00:00Z,22,10,6,9,2019,2019-10-26 23:31:03.990125,2019-09-06
2019-09-07T00:00:00Z,22,11,7,9,2019,2019-10-26 23:31:03.990125,2019-09-07
2019-09-08T00:00:00Z,15,11,8,9,2019,2019-10-26 23:31:03.990125,2019-09-08
2019-09-09T00:00:00Z,26,17,9,9,2019,2019-10-26 23:31:03.990125,2019-09-09
2019-09-10T00:00:00Z,26,17,10,9,2019,2019-10-26 23:31:03.990125,2019-09-10
2019-09-11T00:00:00Z,24,20,11,9,2019,2019-10-26 23:31:03.990125,2019-09-11
2019-09-12T00:00:00Z,43,32,12,9,2019,2019-10-26 23:31:03.990125,2019-09-12
2019-09-13T00:00:00Z,43,32,13,9,2019,2019-10-26 23:31:03.990125,2019-09-13
2019-09-14T00:00:00Z,40,28,14,9,2019,2019-10-26 23:31:03.990125,2019-09-14
2019-09-15T00:00:00Z,20,12,15,9,2019,2019-10-26 23:31:03.990125,2019-09-15
2019-09-16T00:00:00Z,19,12,16,9,2019,2019-10-26 23:31:03.990125,2019-09-16
2019-09-17T00:00:00Z,32,27,17,9,2019,2019-10-26 23:31:03.990125,2019-09-17
2019-09-18T00:00:00Z,33,24,18,9,2019,2019-10-26 23:31:03.990125,2019-09-18
2019-09-19T00:00:00Z,25,22,19,9,2019,2019-10-26 23:31:03.990125,2019-09-19
2019-09-20T00:00:00Z,37,25,20,9,2019,2019-10-26 23:31:03.990125,2019-09-20
2019-09-21T00:00:00Z,28,21,21,9,2019,2019-09-29 10:29:12.892671,2019-09-21
2019-09-22T00:00:00Z,20,14,22,9,2019,2019-09-29 10:29:12.892671,2019-09-22
2019-09-23T00:00:00Z,33,29,23,9,2019,2019-09-29 10:29:12.892671,2019-09-23
2019-09-24T00:00:00Z,33,20,24,9,2019,2019-09-29 10:29:12.892671,2019-09-24
2019-09-25T00:00:00Z,25,21,25,9,2019,2019-10-09 12:05:33.456573,2019-09-25
2019-09-26T00:00:00Z,22,19,26,9,2019,2019-10-09 12:05:33.456573,2019-09-26
