timestamp,count,uniques,day,mo,yr,collection_timestamp
2019-10-06T00:00:00Z,15,13,06,10,2019,2019-10-19 18:13:53.750785
2019-10-07T00:00:00Z,18,12,07,10,2019,2019-10-19 18:13:53.750785
2019-10-08T00:00:00Z,28,17,08,10,2019,2019-10-19 18:13:53.750785
2019-10-09T00:00:00Z,21,20,09,10,2019,2019-10-19 18:13:53.750785
2019-10-10T00:00:00Z,21,19,10,10,2019,2019-10-19 18:13:53.750785
2019-10-11T00:00:00Z,24,19,11,10,2019,2019-10-19 18:13:53.750785
2019-10-12T00:00:00Z,24,20,12,10,2019,2019-10-19 18:13:53.750785
2019-10-13T00:00:00Z,21,14,13,10,2019,2019-10-19 18:13:53.750785
2019-10-14T00:00:00Z,37,20,14,10,2019,2019-10-19 18:13:53.750785
2019-10-15T00:00:00Z,31,26,15,10,2019,2019-10-19 18:13:53.750785
2019-10-16T00:00:00Z,26,24,16,10,2019,2019-10-19 18:13:53.750785
2019-10-17T00:00:00Z,18,15,17,10,2019,2019-10-19 18:13:53.750785
2019-10-18T00:00:00Z,34,24,18,10,2019,2019-10-19 18:13:53.750785
2019-10-19T00:00:00Z,24,16,19,10,2019,2019-10-19 18:13:53.750785
