count,timestamp,uniques,day,mo,yr,collection_timestamp
29,2019-10-30T00:00:00Z,25,30,10,2019,2019-11-12 15:40:54.591320
24,2019-10-31T00:00:00Z,17,31,10,2019,2019-11-12 15:40:54.591320
24,2019-11-01T00:00:00Z,20,01,11,2019,2019-11-12 15:40:54.591320
8,2019-11-02T00:00:00Z,7,02,11,2019,2019-11-12 15:40:54.591320
8,2019-11-03T00:00:00Z,8,03,11,2019,2019-11-12 15:40:54.591320
32,2019-11-04T00:00:00Z,21,04,11,2019,2019-11-12 15:40:54.591320
29,2019-11-05T00:00:00Z,23,05,11,2019,2019-11-12 15:40:54.591320
43,2019-11-06T00:00:00Z,28,06,11,2019,2019-11-12 15:40:54.591320
34,2019-11-07T00:00:00Z,28,07,11,2019,2019-11-12 15:40:54.591320
27,2019-11-08T00:00:00Z,23,08,11,2019,2019-11-12 15:40:54.591320
35,2019-11-09T00:00:00Z,23,09,11,2019,2019-11-12 15:40:54.591320
26,2019-11-10T00:00:00Z,16,10,11,2019,2019-11-12 15:40:54.591320
31,2019-11-11T00:00:00Z,27,11,11,2019,2019-11-12 15:40:54.591320
33,2019-11-12T00:00:00Z,24,12,11,2019,2019-11-12 15:40:54.591320
