uniques,count,timestamp,day,mo,yr,collection_timestamp
1,1,2019-11-18T00:00:00Z,18,11,2019,2019-12-02 10:00:10.804595
20,25,2019-11-19T00:00:00Z,19,11,2019,2019-12-02 10:00:10.804595
18,19,2019-11-20T00:00:00Z,20,11,2019,2019-12-02 10:00:10.804595
23,25,2019-11-21T00:00:00Z,21,11,2019,2019-12-02 10:00:10.804595
19,27,2019-11-22T00:00:00Z,22,11,2019,2019-12-02 10:00:10.804595
16,19,2019-11-23T00:00:00Z,23,11,2019,2019-12-02 10:00:10.804595
15,16,2019-11-24T00:00:00Z,24,11,2019,2019-12-02 10:00:10.804595
19,27,2019-11-25T00:00:00Z,25,11,2019,2019-12-02 10:00:10.804595
26,35,2019-11-26T00:00:00Z,26,11,2019,2019-12-02 10:00:10.804595
24,31,2019-11-27T00:00:00Z,27,11,2019,2019-12-02 10:00:10.804595
31,43,2019-11-28T00:00:00Z,28,11,2019,2019-12-02 10:00:10.804595
15,27,2019-11-29T00:00:00Z,29,11,2019,2019-12-02 10:00:10.804595
10,15,2019-11-30T00:00:00Z,30,11,2019,2019-12-02 10:00:10.804595
15,23,2019-12-01T00:00:00Z,01,12,2019,2019-12-02 10:00:10.804595
20,37,2019-12-02T00:00:00Z,02,12,2019,2019-12-02 10:00:10.804595
