count,timestamp,uniques,day,mo,yr,collection_timestamp
286,2019-10-30T00:00:00Z,103,30,10,2019,2019-11-12 15:40:53.786442
247,2019-10-31T00:00:00Z,82,31,10,2019,2019-11-12 15:40:53.786442
292,2019-11-01T00:00:00Z,79,01,11,2019,2019-11-12 15:40:53.786442
207,2019-11-02T00:00:00Z,50,02,11,2019,2019-11-12 15:40:53.786442
133,2019-11-03T00:00:00Z,39,03,11,2019,2019-11-12 15:40:53.786442
366,2019-11-04T00:00:00Z,90,04,11,2019,2019-11-12 15:40:53.786442
346,2019-11-05T00:00:00Z,93,05,11,2019,2019-11-12 15:40:53.786442
394,2019-11-06T00:00:00Z,106,06,11,2019,2019-11-12 15:40:53.786442
356,2019-11-07T00:00:00Z,92,07,11,2019,2019-11-12 15:40:53.786442
354,2019-11-08T00:00:00Z,78,08,11,2019,2019-11-12 15:40:53.786442
232,2019-11-09T00:00:00Z,50,09,11,2019,2019-11-12 15:40:53.786442
107,2019-11-10T00:00:00Z,47,10,11,2019,2019-11-12 15:40:53.786442
425,2019-11-11T00:00:00Z,95,11,11,2019,2019-11-12 15:40:53.786442
263,2019-11-12T00:00:00Z,97,12,11,2019,2019-11-12 15:40:53.786442
