uniques,count,timestamp,day,mo,yr,collection_timestamp
17,41,2019-11-18T00:00:00Z,18,11,2019,2019-12-02 10:00:09.798243
110,416,2019-11-19T00:00:00Z,19,11,2019,2019-12-02 10:00:09.798243
96,410,2019-11-20T00:00:00Z,20,11,2019,2019-12-02 10:00:09.798243
87,328,2019-11-21T00:00:00Z,21,11,2019,2019-12-02 10:00:09.798243
100,344,2019-11-22T00:00:00Z,22,11,2019,2019-12-02 10:00:09.798243
53,242,2019-11-23T00:00:00Z,23,11,2019,2019-12-02 10:00:09.798243
45,144,2019-11-24T00:00:00Z,24,11,2019,2019-12-02 10:00:09.798243
97,423,2019-11-25T00:00:00Z,25,11,2019,2019-12-02 10:00:09.798243
99,280,2019-11-26T00:00:00Z,26,11,2019,2019-12-02 10:00:09.798243
91,303,2019-11-27T00:00:00Z,27,11,2019,2019-12-02 10:00:09.798243
84,204,2019-11-28T00:00:00Z,28,11,2019,2019-12-02 10:00:09.798243
74,251,2019-11-29T00:00:00Z,29,11,2019,2019-12-02 10:00:09.798243
43,118,2019-11-30T00:00:00Z,30,11,2019,2019-12-02 10:00:09.798243
52,130,2019-12-01T00:00:00Z,01,12,2019,2019-12-02 10:00:09.798243
62,261,2019-12-02T00:00:00Z,02,12,2019,2019-12-02 10:00:09.798243
